Time,Label,Subject,EDA_SCR,EDA_AUC,EDA_Tonic,HRV_RMSSD,HRV_SDNN,HRV_LFHF
60.0,0,S2,78,24.227189167651762,5.4214853662573415,42.63685796710657,70.51245622675589,3.6579184257248007
120.0,0,S2,90,23.43298739318374,5.57464942174902,45.501361753035845,59.875718580820035,3.487665113128745
180.0,0,S2,88,24.087617995804546,5.81860690172319,52.16044025748235,65.65300158502964,3.002962521635211
240.0,0,S2,90,21.99408864264978,5.434582582168693,53.21381459109729,72.07798246808471,4.043492048195444
300.0,0,S2,89,16.781913923915013,4.4729981040382905,57.47818278789474,97.90315381152072,5.7045881674718295
360.0,0,S2,89,14.211595274053819,3.748755955309158,57.62904387296949,101.0972631794773,3.4997749175532626
420.0,0,S2,88,11.544699613513686,3.2191474701244402,62.18524281650174,74.64642140940909,1.7168198801276076
480.0,0,S2,88,9.951606197726807,2.770035863535826,63.79682740143422,65.98294147755233,0.6955587365755593
540.0,0,S2,88,8.688944388868256,2.3924146545587193,52.3874454850057,59.77619236636984,2.385233056634041
600.0,0,S2,88,7.7864221722057465,2.1252259096768946,54.03893925700102,67.81084680630829,5.577627752059929
660.0,0,S2,87,6.849378358370702,1.917727628919323,52.31809805403763,64.68627988016624,5.279933266909289
720.0,0,S2,92,6.22567177095103,1.7501681288374062,54.28171477827978,51.17134930066433,1.5286116517822934
780.0,0,S2,87,5.68638767980101,1.625810392497761,76.59767766941164,74.71868109919188,0.945885075791503
840.0,0,S2,83,5.368590776629374,1.5273579148993983,74.65842474555386,74.54588193566663,0.9565283503050919
900.0,0,S2,87,5.348215768463952,1.4445910109548208,57.22629722922325,55.51555797928924,1.2311462036925709
960.0,0,S2,91,4.474439002062039,1.3813480617935934,51.39880090716005,57.86346187721949,1.5507557301347301
1020.0,0,S2,90,4.263901802814007,1.3129405144978767,59.7239526590101,60.26496837777881,1.3921815890352043
1080.0,0,S2,92,4.447324122095272,1.2391841921597309,61.67783267359747,65.81064714592131,1.3543968064511884
1140.0,0,S2,89,4.299514215154686,1.1834899093401967,62.74933878021654,61.836403215013284,1.5247253868742545
1200.0,0,S2,94,4.5913131903412925,1.1448704755067578,73.68716900568353,73.86040844494404,1.8275251386969389
1260.0,0,S2,94,4.12511420148504,1.120884583392303,68.17228054713901,70.55014821836137,1.81451301975596
1320.0,0,S2,90,3.5539736907183137,1.1001197450400984,57.23625372369959,59.55403933545049,2.3552793249917188
1380.0,0,S2,89,4.197684006752712,1.1308184862085318,51.45852171101824,64.53022706623437,0.9240028571779596
1440.0,0,S2,89,4.3227580928808536,1.1751563060271744,205.66610839924462,155.69268074863987,0.4823503294494904
1500.0,0,S2,91,4.216989336785959,1.1999854635428657,212.68939424817583,157.79420989053688,0.4804982547579515
1560.0,0,S2,95,4.77423040843008,1.184391551408902,52.21205430385145,69.46519543648924,1.7111995151460166
1620.0,0,S2,91,4.369141644340437,1.1502840220190378,50.28490259085155,61.514541733853214,1.763205894164564
1680.0,0,S2,89,3.889615523271215,1.1227640428027605,54.561693680330244,45.633664777591804,1.59715789140299
1740.0,0,S2,91,3.9004728706268765,1.1019057530459067,90.71934744033379,72.80690544893089,1.3513667264172022
1800.0,0,S2,91,4.0440532595464775,1.09584226017598,108.31330682331416,113.27452212072089,0.7721008781910687
1860.0,0,S2,92,3.6970281071154165,1.079429127893536,74.92931005476404,109.8898739296326,3.0403610535364196
